Latitude,Longitude,Distrito,Concelho,temp_12h,rh_12h,ws_12h,pr_dia,FFMC,ISI,DMC,DC,BUI,FWI,DSR,mes_sin,dia_sin,mes_cos,dia_cos,incendio
40.9572200001611,-8.56914299991396,Aveiro,Santa Maria da Feira,0.6203473945409429,0.6956521739130435,0.1786407766990291,0.0,0.621631942467885,0.035023207125109604,0.4457116266919196,0.8939596261094965,0.5367006581779193,0.09348838094271653,0.016862337566730206,-0.5,-0.394356,-0.866025,0.918958,0
38.7135380003187,-9.41764599998792,Lisboa,Cascais,0.5359801488833746,0.6413043478260869,0.6077669902912621,0.0042796005706134095,0.621631942467885,0.11878259137729613,0.43162930429245516,0.8424318592412222,0.5115318093240567,0.2909362473996651,0.11587876578563772,-0.866025,-0.571268,-0.5,0.820763,0
38.6665530003442,-9.15380000008477,Setúbal,Almada,0.6129032258064516,0.3695652173913043,0.4174757281553398,0.0,0.7115377317318458,0.12428745260816028,0.5861674857544042,0.8918388186316866,0.6152828756348951,0.32322796691866656,0.13903194929287413,-0.5,0.485302,-0.866025,-0.874347,1
41.0111111111111,-7.92638888888889,Viseu,Castro Daire,0.369727047146402,0.6086956521739131,0.19029126213592235,0.0,0.621631942467885,0.0362801079355981,0.3861413620258952,0.6654622574817375,0.42405127683385896,0.08575714140747882,0.014620467443602918,1.0,-0.101168,0.0,-0.994869,0
40.9298719999525,-8.50737699985504,Aveiro,Santa Maria da Feira,0.33995037220843666,0.6195652173913043,0.16310679611650486,0.0,0.621631942467885,0.03340563042987222,0.37823077048671777,0.6569790275704973,0.4165147092199692,0.07684940889948753,0.012211100812878715,1.0,0.998717,0.0,-0.050649,1
41.0893279997508,-8.11289900037978,Viseu,Cinfães,0.41935483870967744,0.5869565217391305,0.07961165048543689,0.0,0.621631942467885,0.02574278587510656,0.4008686139729292,0.6796009740004713,0.43798179641093454,0.05576449845248363,0.007267088235868663,1.0,-0.937752,0.0,0.347305,1
38.7290530003442,-8.64639499982198,Setúbal,Montijo,0.7667493796526055,0.21739130434782608,0.2407766990291262,0.0,0.7979426386596079,0.1324603438686314,0.7380606397048018,0.9356688398397612,0.7559263404212025,0.36825815617230706,0.17432971933720137,-0.5,-0.937752,-0.866025,0.347305,0
41.5875,-8.03888888888889,Braga,Cabeceiras de Basto,0.43424317617866,0.41304347826086957,0.33980582524271846,0.0,0.666163829908351,0.07502544161543936,0.4430012898590952,0.6838425889560914,0.47603246280629524,0.18999251610939163,0.05569731096667038,1.0,-0.571268,0.0,0.820763,1
39.8115479999118,-7.7924400001102,Castelo Branco,Proença-a-nova,0.5781637717121587,0.7608695652173914,0.3572815533980582,0.049928673323823114,0.42451993320809867,0.020293786902486354,0.19178082191780824,0.7237608985939832,0.3247063242993652,0.02367573189913237,0.0019509508877637786,-0.866025,-0.790776,-0.5,-0.612106,0
41.2402830002043,-8.22586700015598,Porto,Penafiel,0.32506203473945405,0.6956521739130435,0.24854368932038837,0.018544935805991442,0.27730261285364616,0.00880316326109291,0.3625402060509087,0.6527374126148772,0.4063016035749782,0.011492211679943173,0.0007107502406702831,1.0,0.394356,0.0,0.918958,1
